PINGS,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION,sum
906,113,Commonwealth Avenue Mall II,City of Boston,A97,1,Fenway/Kenmore,0.98,"Commonwealth Ave btwn Charlesgate West & Kenmore St, nr Kenmore T Station",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Commonwealth Ave Mall (west of Charlesgate),BPRD,0,0,42807.01831,1224.291643,NA,PARK_Maintenance_Region 1,906
869,891,Bunker Hill CC Athletic Fields,Commonwealth of Massachusetts, ,3,Charlestown,14.07, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,COM,N, , ,COM,0,0,612744.9038,3979.867943,NA,PARK_Maintenance_Region 1,869
850,207,Malcolm X Park I,City of Boston,A97,3,Roxbury,15.12,158 Walnut Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Washington Park,,0,0,658608.4773,3913.710025,NA,PARK_Maintenance_Region 5,850
838,855,Elliot Norton Park,City of Boston,A97,3,Central Boston,0.77064426,277 Tremont Str.,Special District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,0,0,41164.46948,1250.560504,NA,PARK_Maintenance_Region 1,838
830,719,Centre Street I,Commonwealth of Massachusetts,A97/100/GPOD,2,Jamaica Plain,2.25,Centre St fr Murray Circle to Allandale St (NW side) and Bussey St (SE side),Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,97993.50854,23816.59879,NA,INFO_Reallocation From Dept,830
774,388,Marine Park,Commonwealth of Massachusetts,A97,2,South Boston,17.19998118, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,749244.5002,5430.675882,NA,INFO_Reallocation From Dept,774
770,904,Charlestown Naval Shipyard Park I,BRA,A97/LWCF/Ch91/W,3,Charlestown,9.58, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL,,X,X,Shipyard Park,,0,0,417339.0732,7710.524967,NA,PARK_Maintenance_Region 1,770
769,851,LoPresti Park,City of Boston,A97,3,East Boston,3.23,33 Summer Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,140872.0894,2467.905521,NA,PARK_Maintenance_Region 1,769
766,711,The Fenway II,Commonwealth of Massachusetts,A97/NRHP,2,Fenway/Kenmore,0.77,The Fenway at Brookline Ave & The Fenway at Boylston Street (near Charlesgate),Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Fenway Parkway,,0,0,33476.94507,2449.849688,NA,INFO_Reallocation From Dept,766
757,505,Arborway Overpass Path,Commonwealth of Massachusetts,A97,2,Jamaica Plain,1.16375787, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,50694.18652,10714.87647,NA,INFO_Reallocation From Dept,757
747,932,Stony Brook Reservation II,Commonwealth of Massachusetts,A97,2,West Roxbury,141.89, ,Residential District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,6183225.73,25848.48895,NA,INFO_Reallocation From Dept,747
736,47,Prudential Center Plaza I,Private, ,1,Back Bay/Beacon Hill,1.0626591, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X,Boylston Str. Plaza,,0,0,46290.25391,901.7771394,NA,INFO_Reallocation From Dept,736
728,406,Stony Brook Reservation I,Commonwealth of Massachusetts,A97/Wetlands,2,Hyde Park,292.26, ,Residential District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,12432956.94,40797.43494,NA,INFO_Reallocation From Dept,728
726,493,Leo M. Birmingham Parkway,Commonwealth of Massachusetts,A97,2,Allston-Brighton,6.98115238, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,304104.4014,17169.31813,NA,INFO_Reallocation From Dept,726
725,942,Adams Park,City of Boston,A97,3,Roslindale,0.7,Opposite 4228 Washington,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X,"Irving W. Adams Park, Roslindale Square, Hartin Square",,0,0,30714.70215,815.0344341,NA,PARK_Maintenance_Region 4,725
720,578,Prudential Center Plaza III,Private, ,1,Back Bay/Beacon Hill,1.02, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,44570.93677,994.8888731,NA,INFO_Reallocation From Dept,720
718,241,Christopher Lee Playground,City of Boston,A97,3,South Boston,5.43798868, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,M Street Plgd,,0,0,236882.998,2251.534338,NA,PARK_Maintenance_Region 6,718
695,553,Leather District Park,MassDOT,CAT Mit,1,Central Boston,0.42,29-31 South Street,Special District,"Malls, Squares & Plazas",NULL,Kennedy Greenway Conservancy,N,X, ,,0,0,18335.94873,1693.909011,NA,INFO_Reallocation From Dept,695
689,3806,Columbia Road Mall,City of Boston,,1,Dorchester,NA,Columbia Road medians from Blue Hill Avenue to Ceylon Street,,"Malls, Squares and Plazas",,BPRD,N,X,Columbia Road,PWD,0,0,39445.45068,7146.792415,NA,,689
684,341,Bellevue Hill Reservation,Commonwealth of Massachusetts,A97,2,West Roxbury,26.78180477, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,1161618.078,4186.488922,NA,INFO_Reallocation From Dept,684
668,876,Portal Park,MassDOT,A97/CAT Mit,1,Central Boston,0.36,Causeway St above O'Neill Tunnel Entrance Portal (Zakim Bridge Approach),Open Space District,"Malls, Squares & Plazas",DCR,DCR,X,X,O'Neill Tunnel Portal Park,,0,0,15968.82471,565.3414712,NA,INFO_Reallocation From Dept,668
665,197,Forest Hills Rotary,Commonwealth of Massachusetts,A97,1,Roslindale,0.69082163, ,Open Space District,"Malls, Squares & Plazas",DCR,DCR,X,X, ,,0,0,30092.71899,615.1986228,NA,INFO_Reallocation From Dept,665
654,934,A Street Park I,City of Boston,A97,3,South Boston,1.36,135-141 A Street,Special District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X,Channel Center Park,BPRD,0,0,59269.46631,1012.090637,NA,INFO_Reallocation From Dept,654
640,700,Charlesgate II,Commonwealth of Massachusetts,A97,2,Fenway/Kenmore,1.49,Charlesgate East nr Boylston St;  Charlesgate West btwn Beacon St and Back St,Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,64797.78027,2714.023903,NA,INFO_Reallocation From Dept,640
626,397,Tenean Beach,Commonwealth of Massachusetts,A97/ACEC,2,Dorchester,8.70153083, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,379045.4226,4132.543592,NA,INFO_Reallocation From Dept,626
626,555,Armenian Heritage Park,MassDOT,CAT Mit,1,Central Boston,0.25, ,Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy,Armenian Heritage Foundation,X,X, ,,0,0,11056.46069,421.0621617,NA,INFO_Reallocation From Dept,626
621,240,Medal of Honor Park,City of Boston,A97,1,South Boston,6.18269328,Opposite 805 East Broadway,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,269322.9077,2137.998994,NA,PARK_Maintenance_Region 6,621
613,84,Bunker Hill Monument,United States of America,A97/NRHP/PR,1,Charlestown,3.75283998, ,Residential District,"Malls, Squares & Plazas",National Park Service, ,X,X,Monument Sq.,,0,0,163476.616,1620.876188,NA,INFO_Reallocation From Dept,613
602,588,West End Recreation Complex,Private, ,3,Central Boston,3.42, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,149003.3323,2290.241079,NA,INFO_Reallocation From Dept,602
576,696,Riverway III,City of Boston,A97/NRHP/GPOD,3,Jamaica Plain,5.3,"W side of Riverway parkway, btwn Netherlands & on ramp  nr Brookline Ice & Coal",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,,0,0,230726.9038,4197.085909,NA,PARK_Maintenance_Ground Maintenance,576
561,226,Bynoe Park,City of Boston,A97,3,Roxbury,2.67,Between Orchard Park & Adams St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Edna V. Bynoe Park; Orchard Park,,0,0,116521.5037,1417.627106,NA,PARK_Maintenance_Region 5,561
559,451,Moakley Park,City of Boston,A97,3,South Boston,58.77242512,1187 Columbia Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Joe Moakley Park;  Joseph Moakley Park; Columbus Park,,0,0,2560172.352,7177.036194,NA,PARK_Maintenance_Region 6,559
558,589,Thoreau Path,Private, ,1,Central Boston,3.86, ,Residential District,"Malls, Squares & Plazas",City of Boston, ,N,X,West End Walk,,0,0,167999.5063,4315.038257,NA,INFO_Reallocation From Dept,558
